cod_ibge,municipio,pop2016,govpop2015,mortalidade2015,tx_homicidios2015,despesa2016,enem_media2015,enem_desvpad2015,transf2016,ideb_i2015,ideb_f2015
251460,São José do Bonfim,3530.0,0.03207331042382588,0.021739130434782608,0.000286368843069874,11385500.42,422.1714285714285,97.26411698878599,2903991.79,3.9,3.1
251540,Seridó,10994.0,0.041009174311926605,0.017341040462427744,9.174311926605505e-05,,425.99314641744553,71.59368130555674,9596502.5,4.5,3.2
251593,Sertãozinho,4969.0,0.07972199509403106,,0.0002044153720359771,14501179.43,428.7705882352941,86.3262446188707,4049338.42,4.7,3.7
251680,Triunfo,9465.0,0.04710490102678098,,0.00010585371017254156,16654971.11,450.1524886877829,96.18401329863931,8730279.45,4.2,3.6
251740,Zabelê,2227.0,0.08378623188405797,0.027027027027027032,,,434.490909090909,65.14333953148768,2066585.6,4.6,3.8
260370,Canhotinho,24799.0,0.03881306115875508,0.02072538860103627,0.0006844626967830253,49931049.49,452.8052459016391,84.76139598134151,18786824.06,4.7,3.6
261440,Solidão,5964.0,0.057656749033451,0.010752688172043013,0.00033619095646327115,17497308.43,445.7425373134328,90.5761063090876,7073104.61,5.7,
261520,Terra Nova,10313.0,0.04221894943544428,0.028169014084507043,0.00019636720667648503,21387451.6,450.39050445103834,87.58018655057128,7946383.93,4.9,4.2
270180,Carneiros,9065.0,0.05909242947931765,0.016393442622950817,0.0001114951499609767,,418.7096551724137,69.70477658204271,8974161.11,4.1,3.1
270400,Junqueiro,25088.0,0.0611943868601499,0.024258760107816708,0.00035879445064582996,,443.9479861910244,83.65627769844446,22705443.78,5.6,4.6
270540,Monteirópolis,7251.0,0.0729181052340837,0.015384615384615384,0.00027620494406849883,,422.7861702127659,75.99668442267424,6628429.67,3.7,2.5
270820,São Brás,7046.0,0.05004264998578334,0.019230769230769232,0.0002843332385555871,17443044.12,408.2955555555553,66.13291666535407,5903473.41,3.9,3.4
270870,São Miguel dos Milagres,7951.0,0.06615033011681057,0.016393442622950817,0.00025393600812595224,,409.8855769230771,63.99557693798138,6747731.42,4.2,2.6
280010,Amparo de São Francisco,2382.0,0.09393428812131424,,,12069701.12,425.11969696969703,64.34614857806051,1762067.2,4.9,
280220,Feira Nova,5595.0,0.0624439260721335,0.00909090909090909,0.00035887313834559486,15522269.0,418.41118012422373,65.12397407425014,4313525.15,3.4,2.8
290030,Acajutiba,15764.0,0.03512120633708723,0.02197802197802198,0.0005726283641916398,27604175.08,428.14313725490166,79.57196867396178,10021002.56,3.5,2.7
290035,Adustina,17254.0,0.03527079811111758,0.020134228187919462,5.8298839853086914e-05,30108624.89,440.3272206303725,82.57063627766766,10333136.65,4.7,3.4
290195,Apuarema,7745.0,0.052177273898479766,0.010869565217391304,0.00012883277505797475,,446.63809523809516,79.9232280200372,8358598.31,4.1,3.3
290330,Barro Preto,6367.0,0.06685150955021565,0.025,0.0007701786814540973,,412.6746666666668,73.63876841022936,7094860.03,4.9,3.5
290350,Belo Campo,18312.0,0.03361801664581407,0.041284403669724766,5.43980851874014e-05,41333583.72,447.7208053691273,85.24120759000935,17314900.23,4.1,3.6
